Date,Bullish,Neutral,Bearish,Bull-Bear Spread,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
10/31/2013,0.449664,0.33557,0.214765,0.234899,1775.22,1740.5,1763.31
10/24/2013,0.492013,0.332268,0.175719,0.316294,1759.33,1695.93,1746.38
10/17/2013,0.462783,0.288026,0.249191,0.213592,1721.76,1646.47,1721.54
10/10/2013,0.413284,0.250923,0.335793,0.077491,1696.55,1646.47,1656.4
10/3/2013,0.378378,0.320946,0.300676,0.077702,1725.23,1674.99,1693.87
9/26/2013,0.360544,0.333333,0.306122,0.054422,1729.86,1691.7,1692.77
9/19/2013,0.451128,0.25188,0.296992,0.154136,1729.44,1674.32,1725.52
9/12/2013,0.45515,0.299003,0.245847,0.209303,1689.13,1633.41,1689.13
9/5/2013,0.3553,0.3322,0.3125,0.0428,1655.72,1628.05,1653.08
8/29/2013,0.335404,0.357143,0.307453,0.027951,1669.51,1627.47,1634.96
8/22/2013,0.289575,0.281853,0.428571,-0.138996,1696.81,1639.43,1642.8
8/15/2013,0.34507,0.373239,0.28169,0.06338,1705.79,1682.62,1685.39
8/8/2013,0.394984,0.338558,0.266458,0.128526,1709.67,1682.42,1690.91
8/1/2013,0.356164,0.393836,0.25,0.106164,1698.78,1676.03,1685.73
7/25/2013,0.451178,0.323232,0.225589,0.225589,1698.78,1671.84,1685.94
